id,input,expected_output
1,"{""caption"": ""Concertos de abril 🫶\n\n12.04.24 👉 @javierturnes\n19.04.24 👉 @tulsamireniza\n20.04.24 👉 @freedoniasoul\n26.04.24 👉 @madmartintrio\n28.04.24 👉 @nubiyantwist\n\nPara máis info consulta a nosa web 🙇🏻‍♂️ link in bio\n\n📸 @aigiboga\n\n#riquela #riquelaclub #santiagodecompostela"", ""date"": ""2024-09-04"", ""image_path"": ""img/img1.png""}","{""artistas"": [""javierturnes"", ""tulsamireniza"", ""freedoniasoul"", ""madmartintrio"", ""nubiyantwist""], ""fecha"": [""12-04-2024"", ""19-04-2024"", ""20-04-2024"", ""26-04-2024"", ""28-04-2024""], ""ubicacion"": [""Riquelaclub""]}"
2,"{""caption"": ""Começamos o ano com nova travessia!!! Viajemos!!!\n\n(lembrai que no último fim de semana de 2014 não abrimos, voltamos dia 3 de janeiro)\n\n3 de janeiro, às 22h30, concerto de Breo @breo_grupofolk\n\n4 de janeiro, às 22h30, concerto de Xoan Curiel @xoan_curiel\n\n10 de janeiro, às 22h30, concerto de Alana @alanatrio\n\n11 de janeiro, às 22h30, concerto de Exquisitos ghipes de merda\n\n17 de janeiro, às 22h30, concerto de Alejandro Rosa @alejandro_rosa.music\n\n18 de janeiro, às 22h30, concerto de O Leo @arremecaghona3\n\n24 de janeiro, às 22h30, concerto de A Pedreira + Banda apresentam BASAL @a_pedreira_ugia\n\n31 de Janeiro, às 22h30, concerto de Baraza @baraza.musica"", ""date"": ""26-12-2024"", ""image_path"": ""img/img2.png""}","{""artistas"": [""Breo"", ""Xoan Curiel"", ""Alana"", ""Exquisitos ghipes de merda"", ""Alejandro Rosa"", ""O Leo"", ""A Pedreira + Banda"", ""Baraza""], ""fecha"": [""3-1-2024"", ""4-1-2024"", ""10-1-2024"", ""11-1-2024"", ""17-1-2024"", ""18-1-2024"", ""24-1-2024"", ""31-1-2024""], ""ubicacion"": [""Arca da Noe""]}"
3,"{""caption"": ""Tenemos un Gran día para Terminar este Año.\n\nEse día es el 14 de Diciembre de 2024.\n\n🐒EL DIA MUNDIAL DEL MONO.🐒\n\nQueremos celebrarlo por todo lo alto, UNA MONADA DE NOCHE, con una gran fiesta musical que comenzará 📢 A las 20:30h. con el concierto acústico de @juan_castro_musica una persona maravillosa que ya hemos tenido el placer de conocer hace años, siendo parte de \""Maldito Murphy\"".\nAhora empieza su trayectoria en solitario con su primer disco \""Salto al vacío\"".\nEste trabajo ha sido calificado como una propuesta única y original, captando rápidamente la atención del público y tenían buena acogida en las redes sociales.\n\n📢 A las 23:30h. y con mucha ganas por las dos partes 😜, recibiremos a @antifragilband una pedazo banda Viguesa que está triunfando en el escenario musical, demostrando que los baches que te pone la vida tienes que sortearlos y seguir adelante.\nEn 2025 va a Seguro triunfando en muchos festivales y grandes escenarios, con su nuevo single \""Ausente\"" o \""Miedo\"" y muchos más que nos van a hacer saltar como MONOS 😜🐒\n\nNoche única con un escenario único y alguna sorpresa 🫢 😎"", ""date"": ""23-11-2024"", ""image_path"": ""img/img3.png""}","{""artistas"": [""juan_castro_musica"", ""antifragilband""], ""fecha"": [""14-12-2024 20:30"", ""23:30""], ""ubicacion"": [""Cafe Teatro Bajo""]}"
4,"{""caption"": ""Este viernes 22 de Noviembre celebraremos el día de la música! Contaremos con la actuación de @milcordobas y de @zrzband. La entrada será gratuita. El concierto empieza a las 22 horas. Este concierto forma del Día de la Música. Salas de concierto = Espacio de cultura, que se celebrará en toda España este fin de semana. Acto promocionado por el gobierno de España. @cndm_inaem @inaem y @acces_salasconciertos. Os esperamos! Que no pare la música!!"", ""date"": ""19-11-2024"", ""image_path"": ""img/img4.png""}","{""artistas"": [""milcordobas"", ""zrzband""], ""fecha"": [""22-11-2024 22:00""], ""ubicacion"": [""Stereo RocknRoll Bar""]}"
5,"{""caption"": ""Hola queridos \""Garufos\"" estos son nuestros eventos en lo que resta de este año 2024. Ju26.- @Garufa Blue Devils Big Band Vi27.- Tregua en Coruña - Agotadas Sá28.- Son de camaguey Para la \""Noche de Fin de Año con Los Mecánicos\"" está todo el papel agotado ya hace mas de un mes. Ante las numerosas peticiones de entradas que seguimos recibiendo, y para todos aquellos que no os queráis \""Pelicanizar\"", os animamos a que os acerquéis a Salas como pueden ser por ejemplo la Sala Mardi Gras o el Filloa Jazz Club, salas que luchan durante todo el año por mantener la llama de la #MúsicaEnDirecto desde una perspectiva muy pareja a la nuestra, que no es otra que la que nos acoge en nuestra \""bendita\"" asociación. Clubtura -Asociación Galega de Salas de Música ao Vivo- Felices Festas e Bo Nadal @sala_mardi_gras_a_coruna @jazzfilloa_oficial"", ""date"": ""19-11-2024"", ""image_path"": ""img/img5.png""}","{""artistas"": [""Garufa Blue Devils Big Band"", ""Tregua en Coruña"", ""Son de camaguey"", ""Los Mecánicos""], ""fecha"": [""26-12-2024"", ""27-12-2024"", ""28-12-2024""], ""ubicacion"": [""Garufa Club"", ""Sala Mardi Gras"", ""Filloa Jazz Club""]}"
6,"{""caption"": ""🔥VI ANIVERSARIO🔥 ⚡Festa e protesta!! Aquí vai o cartaz do noso sexto aniversario, e desta volta queremos unir forzas con @plataformaulloaviva para defender a nosa terra! ALTRI NON!! Toda a recadación do merch irá destinada a esta loita ✊🏼 💥Venres👉 [22:30h] @whydontyoufaul + #escalenux 💥Sábado👉 [22:30h] @skanderani_band + #MantekaDJ 💥Domingo👉 [20:00h] @losladridos e merendola de free! 🔊Acceso gratuíto (entrada inversa) #krazzykray #krazzylive #VIaniversario #cambados #altrinon"", ""date"": ""09-12-2024"", ""image_path"": ""img/img6.png""}","{""artistas"": [""whydontyoufaul + escalenux"", ""skanderani_band + MantekaDJ"", ""losladridos e merendola de free!""], ""fecha"": [""22-30-2023 22:30"", ""23-30-2023 22:30"", ""24-30-2023 20:00""], ""ubicacion"": [""Sala krazy kray""]}"
7,"{""caption"": ""🎥 Cinema per a gaudir en família: 'Sirocco i el regne dels vents' 🌬️🏰 Una pel·lícula plena de màgia i aventures que ens narra la història de Juliette i Carme, dues germanes intrèpides, descobreixen un passatge secret cap al Regne dels Vents, on viuran esdeveniments plens d’imaginació, coratge i música. 📆 Dissabte 28 de desembre ⏰ 18h00 👨‍👩‍👧 Públic familiar 🎟️ 𝗔𝗯𝗼𝗻𝗮𝗺𝗲𝗻𝘁 𝗳𝗮𝗺𝗶𝗹𝗶𝗮𝗿 𝗱𝗶𝘀𝗽𝗼𝗻𝗶𝗯𝗹𝗲! Per a assistir a 8 sessions per a una mateixa persona o diferents membres (no és nominal). També pots comprar-lo per a regalar cultura aquest #Nadal 🎁🎭 🎫 Entrades anticipades i abonament a la secció \""𝘝𝘦𝘯𝘵𝘢 𝘥'𝘦𝘯𝘵𝘳𝘢𝘥𝘦𝘴\"" de teatreravalgandia.org Organitza: @teatreravalgandia @lacasacalba_org Col·laboren: @generalitatvalenciana @gvacultura @gvaeducacio @institutvalenciadecultura @cndm_inaem @culturadival @ajuntamentdegandia #nadal2024 #cinemafamiliar #cinemaperatotalafamilia #sirocco #siroccoielregnedelsvents #proyecció #cinemaalpoble #sessiódecine #cinegandia # #cicledecinema #LaCasacalba #Gandia #LaSafor #nadalagandia #nadalalteatre #abonamentfamiliar #regalacultura #peratotalafamilia #espectaclefamiliar # #espectaclesdenadal #campanyadenadal #gandia"", ""date"": ""19-12-2024"", ""image_path"": ""img/img7.png""}","{""artistas"": [""'Sirocco i el regne dels vents'""], ""fecha"": [""28-12-2024 18:00""], ""ubicacion"": [""Teatre del Raval Gandia""]}"
8,"{""caption"": ""Nuevos tiempos, nuevas músicas. @dbfest_ es un nuevo evento promovido por jóvenes murcianos con el objetivo de despedir el año 2024 mostrando el talento emergente de la @regiondemurcia_. Presentan un nutrido lineup con 21 artistas donde se encuentran géneros musicales tan variados como urbano, indie, pop o reggaetón, junto a diferentes géneros de la escena electrónica como house, afrohouse, EDM o comercial hardstyle, todo made in Murcia. Nuevos talentos que han decidido unir fuerzas para presentar sus propuestas en un evento conjunto que ofrecerá 12 horas de música en la sala con mejor sonido del sureste estatal, creando un espacio protagonizado por sonidos frescos y vanguardistas. Nada menos que 16 conciertos y 5 sesiones de deejays, nuevas propuestas que buscan su lugar en una escena musical murciana que vive el mejor momento de su historia. ¿Te apetece descubrir nuevas promesas?. Este es el horario: 19:00 - Apertura de puertas 19:00 - anafdxz 19:30 - @kaliopeofficial_ 20:00 - @mursiaaaa 20:40 - @puntodefuga.wav 21:15 - @_renypunto 21:30 - Judith Morales 22:00 - Iste 490 @jose_mula22 22:20 - @galoacsss 23:00 - @akamarinnn 23:20 - Ahmdz 23:50 - @santaals 00:15 - TCK 00:40 - J.Jhana 00:50 - @il_proteine_30170 01:20 - @navarrikii 01:40 - @tormentahelse.b 02:30 - Djs sets de @djloozano._, @avenza___, @dj.victorzurano, Karito y @dj.alexromeroo hasta que el body aguante. El evento será presentado por @detectivemurciano y @el_jesucristo_murciano. Pilla tu entrada para el @dbfest_ en @discostrafico, @discoscomix_ o @compralaentrada, que están baraticas. Ya sabes las cuatro palabras mágicas: APOYA TU ESCENA LOCAL. Las @acces_salasconciertos son espacios de @culturagob necesarios e imprescindibles para el desarrollo de la escena musical emergente. #ApoyaTuSala"", ""date"": ""24-12-2024"", ""image_path"": ""img/img8.png""}","{""artistas"": [""anafdxz"", ""kaliopeofficial_"", ""mursiaaaa"", ""puntodefuga.wav"", ""renypunto"", ""Judith Morales"", ""jose_mula22"", ""galoacsss"", ""akamarinnn"", ""Ahmdz"", ""santaals"", ""TCK"", ""J.Jhana"", ""il_proteine_30170"", ""navarrikii"", ""tormentahelse.b"", ""djloozano."", ""avenza___"", ""dj.victorzurano"", ""Karito"", ""dj.alexromeroo""], ""fecha"": [""29-12-2024 19:00""], ""ubicacion"": [""Garaje Beat Club""]}"
9,"{""caption"": ""NOCHEVIEJA en Peter Rock!! — NOCHEVIEJA PARA BAILAR TOTA LA NIGHT LONG SENSE PAUSES — Esta Nochevieja la celebramos a todo Rock And Roll con The Wanderers en directo y sus grandes clásicos de la década de los 50s y 60s. Luego tenemos a Dj Ferro que ta hará bailar toda la nit sin parar y hasta el amanecer. Tenemos empanadas y pizzas de La Valentina para cuando te pique el gusanillo. Y cotillón tota la nit. Buena música, buen rollo, buena comida, buena bebida…que no te va a faltar ná de ná. 🗓️ 31/12/2024 📍Peter Rock Club Valencia 🎟️ Entrada c/cerveza 10,00€ 🎟️ Entrada c/cubata 15,00€"", ""date"": ""16-12-2024"", ""image_path"": ""img/img9.png""}","{""artistas"": [""The Wanderers y Dj Ferro""], ""fecha"": [""31-12-2024 00:00""], ""ubicacion"": [""Peter Rock Club""]}"
10,"{""caption"": ""✨ Esta semana en La Lata de Bombillas ✨ 📅 Martes 24 de diciembre 🎄 Nochebuena con DJ @cheliszgz 🎧 Celebra la Nochebuena con con mucho ritmo de la mano del inigualable DJ Chelis. 🕛 A partir de las 00:00 h 📅 Viernes 27 de diciembre 🌟 The Great Big Christmas-New Year Party 🎶 Con @thehermeticsband y @forsale.oficial , dos de las bandas más destacadas del panorama local, presentando sus últimos trabajos. Además, DJ Jimmy Loop desde Londres pondrá el broche final con su música. Todo lo recaudado será destinado a la @zaragozafundacionsanblas para apoyar su labor con personas sin hogar. 🕐 Puertas a las 20:30 h | Concierto: 21h 📅 Sábado 28 de diciembre 🎤 @caserosincasa presenta “¿Estoy exagerando???” 🎵 Una noche de indie rock llena con el nuevo disco de Casero, que ha colaborado con artistas como Cariño y Russian Red. 🕐 Puertas a las 20:30 h | Concierto: 21h 📍 Todos los eventos en La Lata de Bombillas 🎫 Entradas ya disponibles. ¡No te quedes fuera! 💥 #25aniversariodelaltadebombillas #lalatadebombillas #conciertoszaragoza"", ""date"": ""23-12-2024"", ""image_path"": ""img/img10.png""}","{""artistas"": [""DJ Chelis"", ""The Hermetics Band"", ""For Sale Oficial"", ""DJ Jimmy Loop"", ""Caserosincasa""], ""fecha"": [""24-12-2023 00:00"", ""27-12-2023 20:30"", ""28-12-2023 20:30""], ""ubicacion"": [""La Lata de Bombillas""]}"
